start_tow_s,end_tow_s,duration_s,epochs,statuses,status_counts,dominant_status,median_h_m,p95_h_m,max_h_m,solution_path_m,solution_chord_m,solution_path_speed_mps,previous_fixed_tow_s,next_fixed_tow_s,fixed_anchor_gap_s,fixed_anchor_distance_m,fixed_anchor_speed_mps,fixed_anchor_bridge_residual_median_m,fixed_anchor_bridge_residual_p95_m,fixed_anchor_bridge_residual_max_m
188341.2,188400.0,58.8,293,FIXED;FLOAT,FIXED:31;FLOAT:262,FLOAT,35.769731,37.088959,38.266967,48.477908,24.280889,0.824454,188321.0,188401.2,80.2,27.632103,0.34454,12.332836,15.267486,15.576057
188402.4,188437.2,34.8,173,FIXED;FLOAT,FIXED:37;FLOAT:136,FLOAT,34.099825,36.944465,37.097965,255.170817,248.491798,7.332495,188401.6,188503.2,101.6,669.182159,6.586439,6.159672,16.219921,19.078061
188304.4,188338.8,34.4,171,FIXED;FLOAT,FIXED:8;FLOAT:163,FLOAT,36.95769,37.581212,37.761641,6.07972,1.092193,0.176736,188302.0,188375.2,73.2,19.952265,0.272572,2.146086,4.566583,5.119461
188301.2,188303.6,2.4,13,FIXED;FLOAT,FIXED:5;FLOAT:8,FLOAT,32.676323,34.936867,35.12728,3.846319,3.436916,1.602633,188288.2,188319.6,31.4,17.557472,0.559155,5.659196,7.318303,7.441871
189086.8,189088.0,1.2,6,FIXED;FLOAT,FIXED:5;FLOAT:1,FIXED,36.358966,38.822874,39.135181,9.277067,3.013475,7.730889,189084.0,189091.2,7.2,55.317263,7.682953,7.617553,13.221452,13.468757
189080.2,189081.0,0.8,5,FIXED,FIXED:5,FIXED,47.189802,48.039467,48.15681,12.41314,2.900669,15.516425,189077.0,189082.8,5.8,49.408226,8.51866,47.819614,48.641278,48.656828
189082.8,189083.2,0.4,3,FIXED,FIXED:3,FIXED,51.375465,51.600729,51.625759,1.906627,1.856622,4.766567,189081.0,189084.0,3.0,37.432358,12.477453,18.394398,21.09179,21.391501
189168.4,189168.8,0.4,3,SPP,SPP:3,SPP,31.462944,31.756219,31.788806,2.760289,2.76028,6.900722,189140.4,189188.8,48.4,361.564555,7.470342,32.305306,32.492935,32.513783
189165.4,189165.6,0.2,2,FLOAT,FLOAT:2,FLOAT,46.112685,47.175096,47.293142,1.412035,1.412035,7.060177,189140.4,189188.8,48.4,361.564555,7.470342,42.487677,43.507953,43.621317
189161.6,189161.8,0.2,2,FLOAT,FLOAT:2,FLOAT,36.145406,37.265771,37.390256,1.479047,1.479047,7.395233,189140.4,189188.8,48.4,361.564555,7.470342,32.127161,33.251411,33.376327
188401.2,188401.6,0.4,2,FIXED,FIXED:2,FIXED,36.994737,37.021521,37.024497,2.326449,2.326449,5.816123,188400.0,188402.4,2.4,13.023047,5.42627,0.797146,0.861852,0.869041
189084.0,189084.0,0.0,1,FIXED,FIXED:1,FIXED,49.348754,49.348754,49.348754,0.0,0.0,,189083.2,189086.8,3.6,21.320734,5.922426,0.793749,0.793749,0.793749
189163.6,189163.6,0.0,1,FLOAT,FLOAT:1,FLOAT,45.92267,45.92267,45.92267,0.0,0.0,,189140.4,189188.8,48.4,361.564555,7.470342,41.789527,41.789527,41.789527
